"Product-Title: iPhone 4/4S Case","Cover iPhone 4/4S"
"Product-Title: iPhone 4 Case","Cover iPhone 4"
"Product-Title: iPhone 5 Case","Cover iPhone 5"
"Product-Title: iPod Classic Skin","iPod Classic Custodia"
"Product-Title: Laptop Case","Custodia Laptop"
"Product-Title: Ring","Anello"
"Product-Title: Earrings","Orecchini"
"Product-Title: Necklace","Collana"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Earplug","Dilatatori lobo"
"Product-Title: Expander","Expander"
"Product-Title: Bag","Borsa"
"Product-Title: Wallet","Portafoglio"
"Product-Title: Backpack","Zaino"
"Product-Title: Belt","Cintura"
"Product-Title: Girl Belt","Cintura da donna"
"Product-Title: Belt Pack","Marsupio"
"Product-Title: Headphones","Cuffie"
"Product-Title: Watch","Orologio"
"Product-Title: Sunglasses","Occhiali da sole"
"Product-Title: Bracelet","Braccialetto"
"Product-Title: Wristband","Polsino"
"Product-Title: Gloves","Guanti"
"Product-Title: Scarf","Sciarpa"
"Product-Title: Towel","Asciugamano"
"Product-Title: Socks","Calzini"
"Product-Title: Poster","Poster"
"Product-Title: Sticker","Adesivo"
"Product-Title: Patch","Toppa"
"Product-Title: Calendar","Calendario"
"Product-Title: Keychain","Portachiavi"
"Product-Title: Belt Buckle","Fibbia da cintura"
"Product-Title: Foam Hand","Mano di gommapiuma"
"Product-Title: Skate Deck","Tavola da skate"
"Product-Title: Toy","Giocattolo"
"Product-Title: Gift Pack","Pacchetto regalo"
"Product-Title: Washing Glove","Guanto da doccia"
"Product-Title: Pencil Case","Astuccio"
"Product-Title: Pillow","Cuscino"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Cargo Pants","Pantaloni cargo"
"Product-Title: Chino","Chino"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Jeans","Jeans"
"Product-Title: Girl Jeans","Jeans da donna"
"Product-Title: Leggings","Leggings"
"Product-Title: Girl Leggings","Leggings da donna"
"Product-Title: Mesh Shorts","Pantaloncini in rete mesh"
"Product-Title: Panties","Mutande"
"Product-Title: Pants","Pantaloni"
"Product-Title: Girl Pants","Pantaloni da donna"
"Product-Title: Shorts","Pantaloncini"
"Product-Title: Girl Shorts","Shorts"
"Product-Title: Skirt","Gonna"
"Product-Title: Sweat Pants","Pantaloni della tuta"
"Product-Title: Underwear","Intimo"
"Product-Title: Ballerinas","Ballerine"
"Product-Title: Heels","Tacchi"
"Product-Title: Sandal","Sandali"
"Product-Title: Girl Sandals","Sandali da donna"
"Product-Title: Peeptoes","Scarpe spuntate"
"Product-Title: Shoes","Scarpe"
"Product-Title: Girl Shoes","Scarpe da donna"
"Product-Title: Backpack","Zaino"
"Product-Title: Bag","Borsa"
"Product-Title: Hipbag","Marsupio"
"Product-Title: Laptop Bag","Borsa laptop"
"Product-Title: Tote Bag","Borsa in tessuto"
"Product-Title: Bikini Bottom","Slip"
"Product-Title: Bikini","Bikini"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Swimsuit","Costume"
"Product-Title: Top","Top"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Book","Libro"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: DVD","DVD"
"Product-Title: Magazine","Magazine"
"Product-Title: Vinyl","Vinile"
"Product-Title: Beanie","Berretto"
"Product-Title: Girl Beanie","Berretto da donna"
"Product-Title: Long Beanie","Berretto lungo"
"Product-Title: Cap","Cappello"
"Product-Title: Earmuff","Paraorecchi"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: V Neck T-Shirt","T-Shirt con scollo a V"
"Product-Title: Girly","Girly"
"Product-Title: V Neck Girly","Girly con scollo a V"
"Product-Title: Tank","Canotta"
"Product-Title: Girl Tank","Canotta da donna"
"Product-Title: Top","Top"
"Product-Title: Girl Polo","Polo da donna"
"Product-Title: Polo","Polo"
"Product-Title: Jersey","Jersey"
"Product-Title: Longsleeve","T-Shirt a maniche lunghe"
"Product-Title: Girl Longsleeve","T-Shirt a maniche lunghe da donna"
"Product-Title: V Neck Longsleeve","T-Shirt a maniche lunghe con scollo a v"
"Product-Title: Girl V Neck Longsleeve","T-Shirt a maniche lunghe da donna con scollo a v"
"Product-Title: Zipper","Felpa con zip"
"Product-Title: Girl Zipper","Felpa con zip da donna"
"Product-Title: Hoodie","Felpa con cappuccio"
"Product-Title: Girl Hoodie","Felpa con cappuccio da donna"
"Product-Title: Sweater","Felpa"
"Product-Title: Girl Sweater","Felpa da donna"
"Product-Title: V Neck Sweater","Felpa con scollo a v"
"Product-Title: Girl V Neck Sweater","Felpa con scollo a v da donna"
"Product-Title: Pullover","Pullover"
"Product-Title: Girl Pullover","Pullover da donna"
"Product-Title: V Neck Pullover","Pullover con scollo a v"
"Product-Title: Girl V Neck Pullover","Pullover con scollo a v da donna"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Hooded Cardigan","Cardigan con cappuccio"
"Product-Title: Shirt","Camicia"
"Product-Title: Girl Shirt","Camicia da donna"
"Product-Title: Hooded Shirt","Camicia con cappuccio"
"Product-Title: Hooded Girl Shirt","Camicia da donna con cappuccio"
"Product-Title: Jacket","Giacca"
"Product-Title: Girl Jacket","Giacca da donna"
"Product-Title: Dress","Vestito"
"Product-Title: Coat","Cappotto"
"Product-Title: Vest","Gilet"
"Product-Title: Girl Jacket","Giacca da donna"
"Product-Title: Jeans Jacket","Giacca di jeans"
"Product-Title: Girl Jeans Jacket","Giacca di jeans da donna"
"Product-Title: Leather Jacket","Giacca di pelle"
"Product-Title: Girl Leather Jacket","Giacca di pelle da donna"
"Product-Title: Track Jacket","Giacca della tuta"
"Product-Title: Girl Track Jacket","Giacca della tuta da donna"
"Product-Title: College Jacket","Giacca college"
"Product-Title: Girl College Jacket","Giacca college da donna"
"Product-Title: Hooded College Jacket","Giacca college con cappuccio"
"Product-Title: Girl Hooded College Jacket","Giacca college con cappuccio da donna"
"Product-Title: Windbreaker","Giacca a vento"
"Product-Title: Voucher","Coupon"
"Product-Title: Mug","Tazza"
"Product-Title: Cup","Tazza"
"Product-Title: Flag","Bandiera"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Travel Bag","Borsa da viaggio"
"Product-Title: Tracksuit","Tuta"
"Product-Title: Boxershorts","Boxer"
"Product-Title: Plectrum","Plettro"
"Product-Title: Plectra","Plettri"
"Product-Title: Plectrum Set","Set di plettri"
"Product-Title: Piercing","Piercing"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Button","Bottone"
"Product-Title: Bottle Opener","Apribottiglie"
"Product-Title: Bottle","Bottiglia"
"Product-Title: Coaster","Sottobicchieri"
"Product-Title: Egg Cup","Portauova"
"Product-Title: Flask","Fiaschetta"
"Product-Title: Glass","Vasi"
"Product-Title: Beer Mug","Bicchieri da birra"
"Product-Title: Egg Cup & Toast Cutter","Portauova e taglia toast"
"Product-Title: Blanket","Lenzuola"
"Product-Title: Bed","Letto"
"Product-Title: Chair","Sedia"
"Product-Title: Wrapping Paper","Carta da regalo"
"Product-Title: Coaster Pack","Confezione di sottobicchieri"
"Product-Title: Stress Controller","Antistress"
"Product-Title: Beer Glass","Bicchiere da birra"
"Product-Title: Shot Glass","Bicchiere da shot"
"Product-Title: Notebook","Quaderno"
"Product-Title: Jumpsuit","Tuta"
"Product-Title: Cup Set","Set di tazze"
"Product-Title: Travel Mug","Tazza da viaggio"
"Product-Title: Hair Clip","Molletta per capelli"
"Product-Title: Doormat","Zerbino"
"Product-Title: Figure","Figura"
"Product-Title: Action Figure","Action figure"
"Product-Title: Skatedeck","Tavola da skate"
"Product-Title: Bandana","Bandana"
"Product-Title: Bolts","Viti"
"Product-Title: Wheels","Ruote"
"Product-Title: Bearings","Cuscinetti"
"Product-Title: Truck","Camion"
"Product-Title: Umbrella","Ombrello"
"Product-Title: Soft Toy","Giocattolo morbido"
"Product-Title: Writing Set","Set da scrittura"
"Product-Title: Breakfast Set","Set da colazione"
"Product-Title: Fridge Magnet","Magnete da frigo"
"Product-Title: Card Game","Gioco di carte"
"Product-Title: Tights","Collant"
"Product-Title: Cushion Cover","Federa del cuscino"
"Product-Title: Magnet","Magnete"
"Product-Title: Hip Bag","Marsupio"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Lamp","Lampada"
"Product-Title: Bracelet Set","Braccialetto"
"Product-Title: Bottle Holder","Portabottiglia"
"Product-Title: Board Game","Gioco da tavolo"
"Product-Title: Pool Float","Gonfiabile da piscina"
"Product-Title: Tapestry","Tappezzeria"
"Product-Title: Dungarees","Salopette"
"Product-Title: Tea Cup + Saucer","Tazza da the + piattino"
"Product-Title: Trinket Box","Cofanetto"
"Product-Title: Wall Shelf","Libreria"
"Product-Title: Ring Stand","Porta anelli"
"Product-Title: Air Refresher","Rinfrescatore d'aria"
"Product-Title: Cycling Shorts","Pantaloncini da ciclista"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Torch","Torch"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Money Box","Money Box"
"Product-Title: Pen","Pen"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Goblet","Goblet"