"Product-Title: iPhone 4/4S Case","Capa iPhone 4/4S"
"Product-Title: iPhone 4 Case","Capa iPhone 4"
"Product-Title: iPhone 5 Case","Capa iPhone 5"
"Product-Title: iPod Classic Skin","Skin iPod Classic"
"Product-Title: Laptop Case","Mala Portátil"
"Product-Title: Ring","Ring"
"Product-Title: Earrings","Brincos"
"Product-Title: Necklace","Colar"
"Product-Title: Flesh Tunnel","Flesh Tunnel"
"Product-Title: Earplug","Earplug"
"Product-Title: Expander","Alargadores"
"Product-Title: Bag","Bolsa"
"Product-Title: Wallet","Carteira"
"Product-Title: Backpack","Mochila"
"Product-Title: Belt","Cinto"
"Product-Title: Girl Belt","Cinto de Rapariga"
"Product-Title: Belt Pack","Bolsas de Cintura"
"Product-Title: Headphones","Headphones"
"Product-Title: Watch","Relógio"
"Product-Title: Sunglasses","Óculos de Sol"
"Product-Title: Bracelet","Bracelete"
"Product-Title: Wristband","Pulseira"
"Product-Title: Gloves","Luvas"
"Product-Title: Scarf","Cachecol"
"Product-Title: Towel","Toalha"
"Product-Title: Socks","Meias"
"Product-Title: Poster","Poster"
"Product-Title: Sticker","Autocolante"
"Product-Title: Patch","Patch"
"Product-Title: Calendar","Calendário"
"Product-Title: Keychain","Porta-Chaves"
"Product-Title: Belt Buckle","Fivela"
"Product-Title: Foam Hand","Foam Hand"
"Product-Title: Skate Deck","Skate Deck"
"Product-Title: Toy","Brinquedo"
"Product-Title: Gift Pack","Pack Presente"
"Product-Title: Washing Glove","Washing Glove"
"Product-Title: Pencil Case","Caixa de Lápis"
"Product-Title: Pillow","Almofada"
"Product-Title: Zip Holder","Zip Holder"
"Product-Title: Cargo Pants","Calças Cargo"
"Product-Title: Chino","Chino"
"Product-Title: Hotpants","Hotpants"
"Product-Title: Jeans","Jeans"
"Product-Title: Girl Jeans","Jeans de Mulher"
"Product-Title: Leggings","Leggings"
"Product-Title: Girl Leggings","Leggings de Mulher"
"Product-Title: Mesh Shorts","Calçoes de rede"
"Product-Title: Panties","Cuecas"
"Product-Title: Pants","Calças"
"Product-Title: Girl Pants","Calças de Mulher"
"Product-Title: Shorts","Calções"
"Product-Title: Girl Shorts","Calções de Mulher"
"Product-Title: Skirt","Saia"
"Product-Title: Sweat Pants","Calças Fato de Treino"
"Product-Title: Underwear","Roupa Interior"
"Product-Title: Ballerinas","Ballerinas"
"Product-Title: Heels","Saltos Altos"
"Product-Title: Sandal","Sandálias"
"Product-Title: Girl Sandals","Sandálias de Mulher"
"Product-Title: Peeptoes","Peeptoes"
"Product-Title: Shoes","Sapatos"
"Product-Title: Girl Shoes","Sapatos de Mulher"
"Product-Title: Backpack","Mochila"
"Product-Title: Bag","Mala"
"Product-Title: Hipbag","Hipbag"
"Product-Title: Laptop Bag","Mala Portátil"
"Product-Title: Tote Bag","Tote Bag"
"Product-Title: Bikini Bottom","Bikini Bottom"
"Product-Title: Bikini","Bikini"
"Product-Title: Board Shorts","Board Shorts"
"Product-Title: Swimsuit","Fato de banho"
"Product-Title: Top","Top"
"Product-Title: Blue Ray","Blue Ray"
"Product-Title: Book","Livro"
"Product-Title: CD","CD"
"Product-Title: CD/DVD","CD/DVD"
"Product-Title: DVD","DVD"
"Product-Title: Magazine","Revista"
"Product-Title: Vinyl","Vinyl"
"Product-Title: Beanie","Gorro"
"Product-Title: Girl Beanie","Gorro de Mulher"
"Product-Title: Long Beanie","Gorro Longo"
"Product-Title: Cap","Chapéu"
"Product-Title: Earmuff","Earmuff"
"Product-Title: T-Shirt","T-Shirt"
"Product-Title: V Neck T-Shirt","V Neck T-Shirt"
"Product-Title: Girly","Girly"
"Product-Title: V Neck Girly","V Neck Girly"
"Product-Title: Tank","Tank"
"Product-Title: Girl Tank","Girl Tank"
"Product-Title: Top","Top"
"Product-Title: Girl Polo","Polo de Mulher"
"Product-Title: Polo","Polo"
"Product-Title: Jersey","Jersey"
"Product-Title: Longsleeve","Longsleeve"
"Product-Title: Girl Longsleeve","Girl Longsleeve"
"Product-Title: V Neck Longsleeve","V Neck Longsleeve"
"Product-Title: Girl V Neck Longsleeve","Girl V Neck Longsleeve"
"Product-Title: Zipper","Zipper"
"Product-Title: Girl Zipper","Zipper de Mulher"
"Product-Title: Hoodie","Hoodie"
"Product-Title: Girl Hoodie","Hoodie de Mulher"
"Product-Title: Sweater","Camisola"
"Product-Title: Girl Sweater","Camisola de Mulher"
"Product-Title: V Neck Sweater","Camisola V Neck"
"Product-Title: Girl V Neck Sweater","Camisola V Neck de Mulher"
"Product-Title: Pullover","Pullover"
"Product-Title: Girl Pullover","Pullover de Mulher"
"Product-Title: V Neck Pullover","V Neck Pullover"
"Product-Title: Girl V Neck Pullover","V Neck Pullover de Mulher"
"Product-Title: Cardigan","Cardigan"
"Product-Title: Hooded Cardigan","Cardigan com Capucho"
"Product-Title: Shirt","Shirt"
"Product-Title: Girl Shirt","Shirt de Mulher"
"Product-Title: Hooded Shirt","Shirt com Capucho"
"Product-Title: Hooded Girl Shirt","Shirt com Capunho de Mulher"
"Product-Title: Jacket","Casaco"
"Product-Title: Girl Jacket","Casaco de Mulher"
"Product-Title: Dress","Vestido"
"Product-Title: Coat","Casaco"
"Product-Title: Vest","Colete"
"Product-Title: Girl Jacket","Casaco de Mulher"
"Product-Title: Jeans Jacket","Casaco Jeans"
"Product-Title: Girl Jeans Jacket","Casaco de Mulher Jeans"
"Product-Title: Leather Jacket","Casaco de Cabedal"
"Product-Title: Girl Leather Jacket","Casaco de Cabedal de Mulher"
"Product-Title: Track Jacket","Casaco de Treino"
"Product-Title: Girl Track Jacket","Casaco de Treino de Mulher"
"Product-Title: College Jacket","Casaco Universitário"
"Product-Title: Girl College Jacket","Casaco Universitário de Mulher"
"Product-Title: Hooded College Jacket","Casaco Universitário com Capucho"
"Product-Title: Girl Hooded College Jacket","Casaco Universitário com Capucho de Mulher"
"Product-Title: Windbreaker","Corta-Vento"
"Product-Title: Voucher","Voucher"
"Product-Title: Mug","Caneca"
"Product-Title: Cup","Taça"
"Product-Title: Flag","Bandeira"
"Product-Title: Backpatch","Backpatch"
"Product-Title: Travel Bag","Saco de viagem"
"Product-Title: Tracksuit","Fato de treino"
"Product-Title: Boxershorts","Boxer"
"Product-Title: Plectrum","Palheta"
"Product-Title: Plectra","Palhetas"
"Product-Title: Plectrum Set","Conjunto de palhetas"
"Product-Title: Piercing","Piercing"
"Product-Title: Slipmat","Slipmat"
"Product-Title: Button","Botão"
"Product-Title: Bottle Opener","Abre-garrafas"
"Product-Title: Bottle","Garrafa"
"Product-Title: Coaster","Porta copos"
"Product-Title: Egg Cup","Copo para ovo"
"Product-Title: Flask","Frasco"
"Product-Title: Glass","Copo"
"Product-Title: Beer Mug","Canecas de cerveja"
"Product-Title: Egg Cup & Toast Cutter","Copo para ovo e corta tostas"
"Product-Title: Blanket","Cobertor"
"Product-Title: Bed","Cama"
"Product-Title: Chair","Cadeira"
"Product-Title: Wrapping Paper","Papel de embrulho"
"Product-Title: Coaster Pack","Pack de bases"
"Product-Title: Stress Controller","Controlador de stress"
"Product-Title: Beer Glass","Copo de cerveja"
"Product-Title: Shot Glass","Copo de shot"
"Product-Title: Notebook","Caderno"
"Product-Title: Jumpsuit","Macacão"
"Product-Title: Cup Set","Conjunto de copos"
"Product-Title: Travel Mug","Caneca de viagem"
"Product-Title: Hair Clip","Gancho de cabelo"
"Product-Title: Doormat","Tapete"
"Product-Title: Figure","Figura"
"Product-Title: Action Figure","Figura de ação"
"Product-Title: Skatedeck","Tábua de skate"
"Product-Title: Bandana","Lenço"
"Product-Title: Bolts","Parafusos"
"Product-Title: Wheels","Rodas"
"Product-Title: Bearings","Rolamentos"
"Product-Title: Truck","Eixos"
"Product-Title: Umbrella","Gurada-chuva (for rain) / Gurada-sol (for sun)"
"Product-Title: Soft Toy","Peluche"
"Product-Title: Writing Set","Escrita"
"Product-Title: Breakfast Set","Conjunto de pequeno-almoço"
"Product-Title: Fridge Magnet","Íman para o frigorífico"
"Product-Title: Card Game","Jogo de cartas"
"Product-Title: Tights","Collants"
"Product-Title: Cushion Cover","Fronha"
"Product-Title: Magnet","Íman"
"Product-Title: Hip Bag","Bolça"
"Product-Title: Jigsaw Puzzle","Puzzle"
"Product-Title: Lamp","Lâmpada"
"Product-Title: Bracelet Set","Conjunto de pulseira"
"Product-Title: Bottle Holder","Suporte de garrafa"
"Product-Title: Board Game","Jogo de tabuleiro"
"Product-Title: Pool Float","Boia para a piscina"
"Product-Title: Tapestry","Tapeçaria"
"Product-Title: Dungarees","Macacão"
"Product-Title: Tea Cup + Saucer","Chavena de chá + pires"
"Product-Title: Trinket Box","Caixa de jóias"
"Product-Title: Wall Shelf","Prateleira"
"Product-Title: Ring Stand","Guarda anéis"
"Product-Title: Air Refresher","Purificador de ar"
"Product-Title: Cycling Shorts","Calções de ciclismo"
"Product-Title: Ice Mould","Ice Mould"
"Product-Title: Torch","Torch"
"Product-Title: Alarm Clock","Alarm Clock"
"Product-Title: Mousepad","Mousepad"
"Product-Title: Money Box","Money Box"
"Product-Title: Pen","Pen"
"Product-Title: Pen Topper","Pen Topper"
"Product-Title: Pen & Pen Topper","Pen & Pen Topper"
"Product-Title: Shot Glasses","Shot Glasses"
"Product-Title: Goblet","Goblet"